Date,year,month,day,Season
2022-09-17,2022,9,17,3
2022-09-19,2022,9,19,3
2022-09-20,2022,9,20,3
2022-09-21,2022,9,21,3
2022-09-22,2022,9,22,3
2022-09-23,2022,9,23,3
2022-09-24,2022,9,24,3
2022-09-26,2022,9,26,3
2022-09-28,2022,9,28,3
2022-09-29,2022,9,29,3
2022-09-30,2022,9,30,3
2022-10-01,2022,10,1,4
2022-10-03,2022,10,3,4
2022-10-04,2022,10,4,4
2022-10-05,2022,10,5,4
2022-10-06,2022,10,6,4
2022-10-07,2022,10,7,4
2022-10-08,2022,10,8,4
2022-10-10,2022,10,10,4
2022-10-11,2022,10,11,4
2022-10-12,2022,10,12,4
2022-10-13,2022,10,13,4
2022-10-14,2022,10,14,4
2022-10-15,2022,10,15,4
2022-10-17,2022,10,17,4
2022-10-18,2022,10,18,4
2022-10-19,2022,10,19,4
2022-10-20,2022,10,20,4
2022-10-21,2022,10,21,4
2022-10-24,2022,10,24,4
2022-10-25,2022,10,25,4
2022-10-26,2022,10,26,4
2022-10-27,2022,10,27,4
2022-10-28,2022,10,28,4
2022-10-31,2022,10,31,4
2022-11-03,2022,11,3,4
2022-11-04,2022,11,4,4
2022-11-05,2022,11,5,4
2022-11-07,2022,11,7,4
2022-11-08,2022,11,8,4
2022-11-09,2022,11,9,4
2022-11-10,2022,11,10,4
2022-11-11,2022,11,11,4
2022-11-12,2022,11,12,4
2022-11-14,2022,11,14,4
2022-11-15,2022,11,15,4
2022-11-16,2022,11,16,4
2022-11-17,2022,11,17,4
2022-11-18,2022,11,18,4
2022-11-21,2022,11,21,4
2022-11-22,2022,11,22,4
2022-11-23,2022,11,23,4
2022-11-24,2022,11,24,4
2022-11-25,2022,11,25,4
2022-11-26,2022,11,26,4
2022-11-29,2022,11,29,4
2022-11-30,2022,11,30,4
2022-12-01,2022,12,1,4
2022-12-02,2022,12,2,4
2022-12-03,2022,12,3,4
2022-12-05,2022,12,5,4
2022-12-06,2022,12,6,4
2022-12-07,2022,12,7,4
2022-12-08,2022,12,8,4
2022-12-09,2022,12,9,4
2022-12-10,2022,12,10,4
2022-12-12,2022,12,12,4
2022-12-13,2022,12,13,4
2022-12-14,2022,12,14,4
2022-12-15,2022,12,15,4
2022-12-16,2022,12,16,4
2022-12-17,2022,12,17,4
2022-12-19,2022,12,19,4
2022-12-20,2022,12,20,4
2022-12-21,2022,12,21,4
2022-12-22,2022,12,22,4
2022-12-23,2022,12,23,4
2022-12-26,2022,12,26,4
2022-12-27,2022,12,27,4
2023-01-07,2023,1,7,1
2022-12-24,2022,12,24,4
2022-12-28,2022,12,28,4
